Substrate Index,Materials Project ID,Initial formation energy,Final formation energy,Initial area,Final area,Work of Cleavage,Surface Energy
2110,mp-1068782,1.0982812000000002,1.0456812,17.840254131756,17.840254131756,0.30780985290031215,0.1465339552168524 
1996,mp-1215476,0.2268351999999998,0.17764849999999965,17.929551400992,17.929551400992,0.0506058840908757,0.019816279395609506 
3062,mp-1215513,0.33329730000000035,0.22781099999999999,30.849309265976,30.849309265976,0.04321617668990691,0.014769277200721957 
1801,mp-20277,1.50216775,1.216266,11.29263567312,11.29263567312,0.5320875634288382,0.21540870266364706 
2279,mp-10224,1.13148625,1.0431665000000008,11.147596748479998,11.147596748479998,0.4060018587070907,0.1871554064138962 
4295,mp-7426,0.728389,0.5228275999999997,16.330279073476,16.330279073476,0.22301792783904884,0.08003959969814416 
4379,mp-1018056,0.7160432500000002,0.6967490000000005,13.228930697877999,13.228930697877999,0.21650827760851687,0.10533716078983818 
3990,mp-569408,1.0711932000000004,1.0706984,14.421097390144002,14.421097390144002,0.37139794948340754,0.18561319763566697 
2017,mp-19167,0.8917493999999998,0.8567191999999999,17.643452568921,17.643452568921,0.2527139732193968,0.12139336060407951 
1365,mp-7157,1.2718525999999997,1.2289406,15.935850127299998,15.935850127299998,0.3990538910193331,0.19279495448672035 
4188,mp-1216529,0.6002392499999996,0.5116082500000001,16.272081268992,16.272081268992,0.14755070112483093,0.06288172257041492 
3530,mp-5273,0.3713034999999998,0.28442599999999985,18.765989775839998,18.765989775839998,0.07914392034424513,0.03031292283513657 
261,mp-590,0.5609779999999995,0.4974387499999997,11.511245356182,11.511245356182,0.19493216681329162,0.08642657412090607 
971,mp-1217678,0.767105999999999,0.7261673999999992,15.687492233279999,15.687492233279999,0.2444960573024646,0.11572394573995104 
3873,mp-1206129,6.124363799999999,6.124363799999999,17.255234139364,17.255234139364,1.7746394370936465,0.8873197185468232 
2720,mp-1096875,1.5777162500000008,1.4172350000000007,7.9646008562979995,7.9646008562979995,0.7923642520026214,0.3558834963786851 
4031,mp-20930,0.6370687499999992,0.5657942499999997,9.806005574001999,9.806005574001999,0.25986881006432083,0.11539749712157045 
4651,mp-978268,0.348797625,0.31406084999999995,14.662293819689998,14.662293819689998,0.0951549953341133,0.042839252010929904 
4312,mp-685146,0.3735716,0.18505165000000012,36.054437652143,36.054437652143,0.041445283779406906,0.010265124741947044 
3815,mp-1215705,0.2811222000000001,0.18037119999999973,13.754894308985,13.754894308985,0.10218988008376222,0.03278309450225606 
655,mp-1069533,2.4516648000000005,2.1772968000000006,14.583655183788,14.583655183788,0.8405522377974922,0.3732426426298814 
459,mp-9166,1.5471227499999998,1.5278094999999992,9.450995716046,9.450995716046,0.6547977785550272,0.3233118595971995 
3386,mp-5820,0.5817419999999999,0.5636924000000008,15.127377908449,15.127377908449,0.19228117507234452,0.09315765154600342 
4550,mp-1220335,0.8501676666666675,0.8349268333333342,14.754311671,14.754311671,0.34572985265223666,0.16976600168500008 
974,mp-1223815,0.6804232499999996,0.581798,14.416868980019999,14.416868980019999,0.1887853044771322,0.08071072863411607 
726,mp-865939,0.339768,0.3347065333333334,12.009334811403999,12.009334811403999,0.08487597489846602,0.041805795898307935 
1653,mp-613052,1.1089357500000006,1.0113312500000005,16.132666602660002,16.132666602660002,0.27495411076483933,0.12537682391989047 
3591,mp-30175,0.8359044000000001,0.8256548200000001,17.207679389796002,17.207679389796002,0.24288702185365094,0.11995441123943852 
3078,mp-2807,0.8369914999999999,0.8369914999999999,14.134960603201,14.134960603201,0.1184285578851143,0.05921427894255715 
2355,mp-1219429,1.5570432500000004,1.4702175000000004,9.154862660632,9.154862660632,0.6803131003573181,0.3211883246096681 
1061,mp-753226,0.5381537500000002,0.47134499999999946,11.596403579367,11.596403579367,0.18562780997291778,0.08129158264871776 
1929,mp-569178,1.26872725,1.0198809999999998,15.127076158116001,15.127076158116001,0.3354851226340394,0.13484178823979961 
3068,mp-672,1.0074468749999999,0.9947880000000002,15.324263982809999,15.324263982809999,0.2629677682739227,0.12983174932458802 
4546,mp-1216657,0.6918642500000001,0.6703127500000008,13.239250598574,13.239250598574,0.20903426363861438,0.10126143394735655 
996,mp-814,0.7806492499999997,0.7806492499999997,16.616417352975997,16.616417352975997,0.09396119914623902,0.04698059957311951 
3344,mp-1225742,0.11970519999999993,0.11913399999999967,7.4368238021,7.4368238021,0.08048140119051747,0.04004868313753742 
2601,mp-675180,1.2971702500000002,1.2466075,14.68662906693,14.68662906693,0.35329284727993815,0.16976087491812486 
3540,mp-1228894,1.5319874999999996,1.5306425,8.700654329764,8.700654329764,0.7043090976545228,0.35184537667789817 
3027,mp-25587,0.7174465000000003,0.6112736249999999,14.915914393916001,14.915914393916001,0.3847951824087362,0.16392521674684057 
2340,mp-1215446,0.774570625,0.42936212499999993,51.959974157585,51.959974157585,0.11925650657960227,0.03305329780941184 
2968,mp-3262,0.7302185999999992,0.6817565999999993,14.855304730564,14.855304730564,0.24577705178191775,0.11473285340914637 
